"mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
5,10,2,"roc_auc","binary",0.84233780698779,5,0.00558452087019663,"Preprocessor1_Model01"
17,10,2,"roc_auc","binary",0.842635160456366,5,0.00556615111035882,"Preprocessor1_Model02"
30,10,2,"roc_auc","binary",0.838806577521676,5,0.00972465447500069,"Preprocessor1_Model03"
5,255,2,"roc_auc","binary",0.844170692947122,5,0.00712032769891616,"Preprocessor1_Model04"
17,255,2,"roc_auc","binary",0.843333413496722,5,0.00581132353701756,"Preprocessor1_Model05"
30,255,2,"roc_auc","binary",0.841977053956014,5,0.00729178733385008,"Preprocessor1_Model06"
5,500,2,"roc_auc","binary",0.845263880192694,5,0.00722554149895386,"Preprocessor1_Model07"
17,500,2,"roc_auc","binary",0.842496380708094,5,0.00603111358045485,"Preprocessor1_Model08"
30,500,2,"roc_auc","binary",0.841943908109407,5,0.00656046893742247,"Preprocessor1_Model09"
5,10,6,"roc_auc","binary",0.842958329383332,5,0.00995108739174339,"Preprocessor1_Model10"
17,10,6,"roc_auc","binary",0.84101668760964,5,0.0072173970132774,"Preprocessor1_Model11"
30,10,6,"roc_auc","binary",0.839592420264576,5,0.0068412469884537,"Preprocessor1_Model12"
5,255,6,"roc_auc","binary",0.843678632674443,5,0.00746047589686856,"Preprocessor1_Model13"
17,255,6,"roc_auc","binary",0.843842751177233,5,0.00708512449516913,"Preprocessor1_Model14"
30,255,6,"roc_auc","binary",0.843313025203244,5,0.00568821100372273,"Preprocessor1_Model15"
5,500,6,"roc_auc","binary",0.844132323526262,5,0.00707394399230769,"Preprocessor1_Model16"
17,500,6,"roc_auc","binary",0.843158556504216,5,0.0063461529062992,"Preprocessor1_Model17"
30,500,6,"roc_auc","binary",0.843738177981111,5,0.00545921906532298,"Preprocessor1_Model18"
5,10,10,"roc_auc","binary",0.843679935051711,5,0.00609149741922314,"Preprocessor1_Model19"
17,10,10,"roc_auc","binary",0.839551932168801,5,0.00457562428260666,"Preprocessor1_Model20"
30,10,10,"roc_auc","binary",0.842118953592422,5,0.00576388162405498,"Preprocessor1_Model21"
5,255,10,"roc_auc","binary",0.845748726285147,5,0.00728388564237874,"Preprocessor1_Model22"
17,255,10,"roc_auc","binary",0.844157685101688,5,0.00518636040617117,"Preprocessor1_Model23"
30,255,10,"roc_auc","binary",0.841771007898696,5,0.00616370709393089,"Preprocessor1_Model24"
5,500,10,"roc_auc","binary",0.843134407172457,5,0.00698995781175826,"Preprocessor1_Model25"
17,500,10,"roc_auc","binary",0.844230096138815,5,0.00552264338954821,"Preprocessor1_Model26"
30,500,10,"roc_auc","binary",0.842441794574119,5,0.00560233972644496,"Preprocessor1_Model27"
